code,name,categories,price,market_cap_yi,ttm_revenue_yi,ttm_net_yi,ttm_deduct_yi,pe_ttm_net,pe_ttm_deduct,q1_revenue_yi,q1_net_yi,q1_deduct_yi,q1_rev_yoy,q1_net_yoy,q1_deduct_yoy,q1_gross_margin,q1_net_margin,q1_roe,rev_positive_quarters,deduct_positive_quarters,s5_operating_score,pe_to_growth,basic_gate
002384,东山精密,PCB_CCL_连接,241.92,4431.02,446.6025507497,20.4009722577,16.2852422419,217.1965112264484,272.0880619509307,131.3763626336,11.098929423800001,10.5927840774,52.7234327423,143.4710316978,166.9893912169,19.327535799279,8.556737063236,5.0336595917,3,3,62.0,2.72,True
688400,凌云光,AI软件工业智能,47.74,227.12,28.9450295577,3.4613678072999994,1.6237729573,65.61567930487062,139.8717714683793,5.972860491900001,1.9977011095,0.46533076729999995,-2.7942575391,1233.1308976824,561.560444827,42.374220039666,33.202337720585,4.0100060309,3,3,62.0,1.4,False
688313,仕佳光子,光互联,117.99,533.3,22.695104999300003,3.9521001944,3.8593548531999997,134.94091084929198,138.18371730130283,5.7659298536,1.1617590284000001,1.0722300955,32.1832621359,24.6597510457,16.3128112225,34.131885618956,20.148684737721,7.2442959842,4,4,61.7,8.47,True
002415,海康威视,AI软件工业智能,33.15,3038.15,946.9137686982001,149.37859678659999,144.243702762,20.338589766914566,21.06261792941424,207.1544449055,27.8117117325,26.476472381,11.7828451381,36.419965368,37.4376616573,49.085471088774,15.744505348306,3.2832995937,2,4,61.4,0.56,False
688088,虹软科技,AI软件工业智能,31.9,127.97,9.4084006781,2.6282666847,2.2234878599,48.689884000339546,57.553721028976234,2.2712836389,0.5408364161,0.48380958979999994,8.5392269127,8.8991872962,20.0161880421,90.396273069371,23.811897921386,1.9632399601,4,4,61.2,2.88,True
603083,剑桥科技,光互联,176.13,648.6,52.1640279871,3.5038055109,3.4540990352999996,185.11301440170357,187.77689735339825,12.8655191415,1.1832899117,1.1692369709000001,43.9813087364,276.4405101293,285.8967119705,29.329155713028,7.551243038971,1.5764529565,4,3,61.0,1.88,True
600570,恒生电子,AI软件工业智能,20.06,379.87,56.6236593474,13.386188551400002,10.7588344932,28.377756561651832,35.30772782498816,9.0531887246,1.3877023383000002,0.7250294344,-11.7521332434,342.8712814371,625.4124013691,67.957175963675,18.251424271209,1.4002393404,0,3,60.6,0.35,False
688300,联瑞新材,存储芯片封装设备材料,141.0,340.47,11.707748004900001,3.0124355492,2.6917495168,113.02150517059766,126.48650919226573,2.9396087987,0.7163651987,0.6357223341,23.1561250144,13.6407582209,8.4626870291,40.020920947722,24.369405854847,4.0525243266,4,4,59.9,14.95,True
603486,科沃斯,机器人具身,53.39,308.91,200.8367675504,16.884083960599998,16.604343315,18.295928918670366,18.604168447958884,49.02247441350001,4.0477434855,3.9656635811000003,27.0593754754,-14.7268195299,11.4572711295,49.589634739052,8.257001929069,4.390219049,3,4,59.7,1.62,True
002371,北方华创,存储芯片封装设备材料,677.0,4912.92,414.69947119769995,55.7602476716,53.924567458,88.10793002453369,91.1072676443164,103.2286390882,16.347390486800002,16.2667817285,25.7960902419,3.4182016345,3.5985957729,40.772789504508,15.189160185967,4.2449584541,4,3,59.3,25.32,False
